INC_CODE,CATEGORY,SUBCATEGORY,UCR_part_1,UCR_part_1_code
30007,other offenses,other,,
30008,other offenses,other,,
30009,other offenses,other,,
30010,other offenses,other,,
30011,other offenses,other,,
30020,other offenses,other,,
30030,other offenses,other,,
30040,other offenses,other,,
30050,other offenses,other,,
30060,other offenses,other,,
30070,other offenses,other,,
30080,other offenses,other,,
30090,other offenses,other,,
30100,other offenses,other,,
30105,other offenses,other,,
30110,other offenses,other,,
30120,other offenses,other,,
30130,other offenses,other,,
30131,other offenses,other,,
30132,other offenses,other,,
30140,other offenses,other,,
30150,other offenses,other,,
30155,other offenses,other,,
30160,other offenses,other,,
30170,other offenses,other,,
30180,other offenses,other,,
30190,other offenses,other,,
30191,other offenses,other,,
30192,other offenses,other,,
30200,other offenses,other,,
30205,other offenses,other,,
30206,other offenses,other,,
30210,other offenses,other,,
30220,other offenses,other,,
31000,other offenses,other,,
51010,non-criminal,non-criminal,,
51020,non-criminal,non-criminal,,
51030,non-criminal,non-criminal,,
51040,non-criminal,non-criminal,,
51041,non-criminal,non-criminal,,
51050,non-criminal,non-criminal,,
60010,suicide,suicide,,
60020,suicide,suicide,,
60030,suicide,suicide,,
60040,suicide,suicide,,
60050,suicide,suicide,,
60060,suicide,suicide,,
60070,suicide,suicide,,
60080,suicide,suicide,,
60090,suicide,suicide,,
60110,suicide,suicide,,
60120,suicide,suicide,,
60130,suicide,suicide,,
60140,suicide,suicide,,
60150,suicide,suicide,,
60160,suicide,suicide,,
60170,suicide,suicide,,
60180,suicide,suicide,,
60190,suicide,suicide,,
61010,other,other,,
61020,other,other,,
61030,other,other,,
61040,other,other,,
61050,other,other,,
62010,warrant,warrant,,
62020,warrant,warrant,,
62030,warrant,warrant,,
62040,warrant,warrant,,
62050,warrant,warrant,,
62060,warrant,warrant,,
62070,warrant,other,,
62071,warrant,other,,
62072,warrant,other,,
63010,warrant,other,,
64000,civil sidewalks,other,,
64001,civil sidewalks,other,,
64002,civil sidewalks,other,,
64003,civil sidewalks,other,,
64010,non-criminal,other,,
64011,non-criminal,other,,
64012,non-criminal,other,,
64013,non-criminal,other,,
64014,non-criminal,other,,
64015,non-criminal,other,,
64016,non-criminal,other,,
64017,non-criminal,other,,
64018,non-criminal,other,,
64019,non-criminal,other,,
64020,non-criminal,other,,
64030,non-criminal,other,,
64040,other offenses,other offenses,,
64050,suspicious occ,suspicious occ,,
64060,suspicious occ,suspicious occ,,
64065,suspicious occ,suspicious occ,,
64070,suspicious occ,suspicious occ,,
64072,suspicious occ,suspicious occ,,
64080,suspicious occ,suspicious occ,,
64085,other miscellaneous,other,,
64090,other miscellaneous,suspicious occ,,
65010,traffic violation arrest,traffic violation arrest,,
65013,other miscellaneous,arrest,,
65014,other miscellaneous,other,,
65015,other miscellaneous,other,,
65016,other miscellaneous,other,,
